id,game,start,end,text,付加的情報か,大分類,小分類,備考
59502,europe_uefa-champions-league/2014-2015/2015-04-21 - 21-45 Bayern Munich 6 - 1 FC Porto,01:06,01:19,"He's got that in his arsenal, Boateng, either left or right, pinging it out to the wide areas, normally looking for the likes of Robben or Ribéry.",1.0,,,This comment contains past player stats and tactics.
105106,germany_bundesliga/2016-2017/2016-09-20 - 21-00 Wolfsburg 1 - 5 Dortmund,12:00,12:15,"Hat noch kein Tor erzielt Dembélé, aber das ist ein fantastisches Talent.",1.0,,,This comment refers to a player's performance and stats.
17942,england_epl/2015-2016/2016-02-27 - 18-00 Southampton 1 - 2 Chelsea,37:01,37:04,"Gary Cahill, probably England's number one choice.",1.0,,,This comment contains past person stats.
36626,england_epl/2016-2017/2016-12-14 - 22-45 Middlesbrough 0 - 3 Liverpool,43:17,43:23,Who they will be without of course for January at the Africa Cup of Nations with Senegal.,1.0,,,This comment contains past and current player stats and information about future events.
5626,england_epl/2015-2016/2015-08-29 - 17-00 Chelsea 1 - 2 Crystal Palace,37:15,37:25,"Well Palace, you can see immediately that ball went backwards.",1.0,,,This comment refers to a specific event in the current game.
61390,europe_uefa-champions-league/2014-2015/2015-05-06 - 21-45 Barcelona 3 - 0 Bayern Munich,36:01,36:08,Only two years ago.,1.0,,,This comment refers to a specific historical event.
35343,england_epl/2016-2017/2016-12-10 - 20-30 Leicester 4 - 2 Manchester City,26:43,26:50,"But still, when it hits Michael Oliver, it's on the edge of the Leicester box.",1.0,,,This comment refers to a specific event in the current game.
1602,england_epl/2014-2015/2015-02-22 - 19-15 Southampton 0 - 2 Liverpool,05:47,05:54,"Targeted Lallana, getting involved in a few isolated boos for Adam Lallana there.",1.0,,,This comment refers to a specific event in the current game.
119105,italy_serie-a/2014-2015/2015-05-17 - 13-30 Sassuolo 3 - 2 AC Milan,08:31,08:34,Ha pasado ya por varios equipos en Italia.,1.0,,,This comment refers to the player's career history and past teams in Italy.
196409,spain_laliga/2016-2017/2017-01-29 - 14-00 Betis 1 - 1 Barcelona,06:14,06:41,"Pero bien hechas en este caso las vigilancias del Barcelona, saben que tienen que estar muy atentos, sobre todo a la posición de Ruben Castro, que es muy inteligente, lateraliza mucho su posición, con lo cual hace perder de vista a los centrales o intenta separar con esa posición a los centrales.",1.0,,,This comment contains tactical analysis and player positioning information.
