id,gold,chatgpt4,note
70426,2.3,2.3,
98556,2.1,2.1,
66648,1.4,1.4,
117974,1.5,1.5,
148032,1.4,1.4,
112597,1.4,1.4,
2928,1.8,2.1,
39486,2.3,2.3,
21110,2.3,2.3,
13446,1.4,1.2,
135069,1.5,1.1,
113636,1.1,1.2,
44760,1.1,1.1,
103293,2.4,2.1,
116545,3.3,2.3,"Which is the last European slot.
"
91352,1.1,1.1,
96357,1.4,1.4,
72552,1.5,2.4,"And it is another corner
迷う"
175203,2.4,2.1,チーム戦術 => チームの特徴なのか、ピッチ上の出来事なのか
37404,2.4,2.4,
45967,1.4,1.4,
10362,2.3,1.8,"£50,000 fine being appealed by Jose Mourinho."
208566,2.4,1.5,
68619,1.8,1.5," Gareth Bale gave a bit of a going-over in those Spurs intermatches a few seasons ago.
"
108566,1.8,2.5,"In der Offensive wird er gesucht und sie finden ihn dann auch häufig, weil er sich gut bewegt"
187746,1.5,1.5,
71664,1.5,2.4,
8469,1.4,1.4,
64337,2.3,1.4,
58545,1.5,1.4,
101337,1.5,1.5,
196167,1.1,1.1,
130417,1.4,1.5,
100962,2.1,2.4,
201682,1.8,2.1,
10986,3.3,3.3,
11004,1.1,1.1,
146143,1.5,1.5,
212648,1.5,1.5,
127226,2.3,2.3,
120294,2.4,1.5,
121200,2.4,2.4,
116610,1.8,1.8,
